Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND,delta (%) MS-H,delta (%) IG-H,delta (%) IG-MS,delta (%) GRASP_RVND-H,delta (%) GRASP_RVND-MS,delta (%) ILS_RVND-H,delta (%) ILS_RVND-MS,delta (%) GRASP_RVND-GRASP_VND,delta (%) ILS_RVND-ILS_VND,delta (%) ILS_RVND-GRASP_RVND
/instancia_130projetos_5sondas_delta_t28.dat,feasible,0.03664827346801758,0.01832449436187744,56836.38999999999,feasible,0.3863544464111328,0.1931777000427246,56420.72999999999,feasible,0.2624802589416504,0.1312406063079834,56656.45999999999,feasible,324.5856297016144,162.29281520843506,56836.38999999999,feasible,709.5488593578339,354.7744300365448,56836.38999999999,feasible,380.0059177875519,190.0029592514038,56482.79999999999,feasible,485.29581928253174,242.64790999889374,56689.170000000006,-0.007313272359486652,-0.0031657534899735946,0.004178074264547858,0.0,0.007367150336410103,-0.0025902419207128853,0.004757825714059654,0.0,0.0036536786419939737,-0.0025902419207128853
/instancia_10projetos_2sondas_delta_t28.dat,feasible,0.0006618499755859375,0.0003312826156616211,6089.95,feasible,0.0054759979248046875,0.0027382373809814453,6089.95,feasible,0.005002737045288086,0.0025017261505126953,6089.95,feasible,20.815468311309814,10.407734513282776,6089.95,feasible,31.8470242023468,15.92351245880127,6089.950000000001,feasible,19.339289665222168,9.669645309448242,6089.950000000001,feasible,28.1131489276886,14.056574940681458,6089.950000000001,0.0,0.0,0.0,1.4934354169950956e-16,1.4934354169950956e-16,1.4934354169950956e-16,1.4934354169950956e-16,1.4934354169950956e-16,0.0,0.0
/instancia_170projetos_5sondas_delta_t28.dat,feasible,0.07120275497436523,0.03560173511505127,77952.88999999998,feasible,0.7151534557342529,0.3575770854949951,77921.06999999999,feasible,0.4250757694244385,0.21253836154937744,80167.12000000002,feasible,2795.4860603809357,1397.7430309057236,80088.93,feasible,3141.091454267502,1570.5457274913788,79767.37999999998,feasible,1968.6020379066467,984.3010194301605,80991.56999999996,feasible,2812.3801929950714,1406.1900968551636,81325.38,-0.00040819525741755616,0.028404719825012775,0.02882468118058482,0.023276750868376928,0.023694618156552306,0.04326318113414423,0.04368921011993306,-0.004014911923533221,0.004121540056576771,0.019531793572761566
/instancia_20projetos_2sondas_delta_t28.dat,feasible,0.0022110939025878906,0.0011061429977416992,8235.27364062609,feasible,0.021512508392333984,0.010757207870483398,8235.273640626092,feasible,0.01357722282409668,0.006788969039916992,8235.273640626092,feasible,16.059616565704346,8.029808640480042,8235.273640626094,feasible,26.539538860321045,13.269769668579102,8235.273640626094,feasible,15.791879653930664,7.89594030380249,8235.273640626094,feasible,21.34819197654724,10.67409634590149,8235.273640626094,2.2087783392800133e-16,2.2087783392800133e-16,0.0,4.4175566785600267e-16,2.2087783392800128e-16,4.4175566785600267e-16,2.2087783392800128e-16,0.0,0.0,0.0
/instancia_80projetos_2sondas_delta_t28.dat,feasible,0.009402275085449219,0.004701375961303711,19312.420000000002,feasible,0.08253145217895508,0.04126596450805664,19611.840000000004,feasible,0.06698346138000488,0.033492088317871094,19785.25,feasible,566.2176806926727,283.1088408231735,19659.83,feasible,698.9039208889008,349.45196092128754,19841.540000000005,feasible,497.40725541114807,248.7036281824112,19881.479999999996,feasible,527.3678085803986,263.6839048862457,19939.739999999998,0.01550401244380569,0.024483208215231343,0.00884210762478157,0.02739791284572325,0.011712312562207354,0.0324827235530294,0.016719491898771054,0.009242704540171646,0.0029303653450347784,0.00494921261152075
/instancia_150projetos_10sondas_delta_t28.dat,feasible,0.0966634750366211,0.0483320951461792,18957.56,feasible,1.0059239864349365,0.5029624700546265,19443.960000000003,feasible,0.5530729293823242,0.27653682231903076,19479.180000000004,feasible,409.8734016418457,204.93670117855072,19479.180000000008,feasible,2060.793944120407,1030.3969725370407,19479.180000000004,feasible,415.1654095649719,207.58270514011383,19479.180000000015,feasible,1481.0370621681213,740.5185314416885,19479.18000000001,0.02565731032896646,0.02751514435402038,0.001811359414440328,0.02751514435402038,0.001811359414440328,0.027515144354020762,0.0018113594144407023,-1.8676242054807808e-16,-1.86762420548078e-16,3.735248410961562e-16
/instancia_110projetos_2sondas_delta_t28.dat,feasible,0.01332855224609375,0.006664633750915527,27416.719999999998,feasible,0.1253666877746582,0.06268370151519775,28348.829999999998,feasible,0.14360976219177246,0.07180547714233398,28030.599999999995,feasible,664.7831225395203,332.391561627388,28137.249999999993,feasible,502.37161564826965,251.1858081817627,28642.829999999998,feasible,595.6493473052979,297.8246741294861,28693.410000000007,feasible,498.29804968833923,249.14902520179749,28542.789999999997,0.033997866995030795,0.022390716322010708,-0.011225507366618067,0.044721250390272825,0.010370798371573007,0.041072382108436015,0.006841904939286706,0.017968351562430783,-0.005249288948229223,-0.003492671638940736
/instancia_100projetos_10sondas_delta_t28.dat,feasible,0.04985666275024414,0.024928689002990723,31249.77726066382,feasible,0.5130574703216553,0.2565290927886963,31249.77726066382,feasible,0.29261231422424316,0.14630639553070068,32649.46159688648,feasible,327.5852117538452,163.79260635375977,32449.184102927215,feasible,1019.7147579193115,509.8573794364929,32616.94490176072,feasible,335.91186785697937,167.95593440532684,32707.810188741976,feasible,713.3659846782684,356.68299293518066,32781.32281114727,0.0,0.04479021800851468,0.04479021800851468,0.04374967634786449,0.04374967634786449,0.049009806940650054,0.049009806940650054,0.005169954298430893,0.002247555613814761,0.0050396476396438634
/instancia_160projetos_5sondas_delta_t28.dat,feasible,0.0545506477355957,0.027275681495666504,29453.62000000001,feasible,0.567875862121582,0.2839384078979492,30078.990000000013,feasible,0.37358832359313965,0.18679451942443848,30408.38,feasible,464.59074902534485,232.2953748703003,30491.570000000007,feasible,1197.3773579597473,598.6886795759201,30463.180000000008,feasible,384.34472942352295,192.17236518859863,30794.76,feasible,794.0370447635651,397.0185227394104,31396.200000000004,0.021232364646518915,0.032415709851624036,0.01095083312305328,0.03427626213687816,0.012772702806842746,0.06595386237752758,0.04379169646321207,-0.0009310770157128482,0.019530595464942933,0.03062779394665943
/instancia_90projetos_2sondas_delta_t28.dat,feasible,0.012332439422607422,0.006166577339172363,26591.370000000003,feasible,0.10682988166809082,0.05341517925262451,27031.990000000005,feasible,0.09103083610534668,0.04551577568054199,26928.97000000001,feasible,965.176620721817,482.58831095695496,27386.75,feasible,874.0184397697449,437.0092204809189,26345.960000000003,feasible,942.2599694728851,471.1299854516983,27427.36,feasible,691.9555053710938,345.97775316238403,27872.790000000008,0.016570037572340296,0.012695848314697805,-0.0038110401786918676,-0.00922893404890383,-0.025378449755271527,0.04818931856463226,0.0311038883929745,-0.038003414059718556,0.016240352698911144,0.057953097932282795
