Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND
/instancia_190projetos_10sondas_delta_t28.dat,feasible,0.3101050853729248,0.1550532579421997,24441.68,feasible,3.0536370277404785,1.5268194675445557,25262.089999999997,feasible,2.129865884780884,1.0649337768554688,25282.490000000005,feasible,570.2987220287323,285.14936196804047,25262.089999999997,feasible,1817.8511197566986,908.9255609512329,25282.489999999998,feasible,380.3931872844696,190.19659447669983,25282.490000000005,feasible,1113.0383033752441,556.5191525220871,25282.490000000005
/instancia_40projetos_10sondas_delta_t1.dat,feasible,0.026947498321533203,0.013474464416503906,23766.38,feasible,0.2513549327850342,0.12567782402038574,23766.38,feasible,0.16360998153686523,0.08180570602416992,23766.38,feasible,249.24685859680176,124.6234302520752,23766.38,feasible,383.8943645954132,191.94718325138092,23766.38,feasible,123.63871121406555,61.819356083869934,23766.38,feasible,306.24476408958435,153.1223828792572,23766.380000000005
/instancia_40projetos_10sondas_delta_t28.dat,feasible,0.027400732040405273,0.013701081275939941,14885.640000000003,feasible,0.2661576271057129,0.13307952880859375,14885.640000000003,feasible,0.15266680717468262,0.07633411884307861,14885.640000000003,feasible,152.38044810295105,76.19022500514984,14885.640000000003,feasible,425.85340547561646,212.92670345306396,14885.640000000003,feasible,88.98829054832458,44.49414575099945,14885.640000000007,feasible,155.91456532478333,77.95728313922882,14885.640000000003
/instancia_190projetos_2sondas_delta_t7.dat,feasible,0.04124951362609863,0.02062511444091797,40505.63,feasible,0.40329480171203613,0.20164787769317627,41180.30000000001,feasible,0.3611152172088623,0.1805579662322998,42104.83,feasible,879.8898091316223,439.944904923439,42602.93,feasible,549.892049074173,274.9460252523422,41999.1,feasible,911.2359764575958,455.6179885864258,40611.1,feasible,196.8672046661377,98.43360269069672,42264.59
/instancia_130projetos_10sondas_delta_t1.dat,feasible,0.07189440727233887,0.03594768047332764,42358.549999999996,feasible,0.7578704357147217,0.3789355754852295,42370.579999999994,feasible,0.514451265335083,0.25722599029541016,41652.79,feasible,570.2890005111694,285.14450109004974,42590.53999999999,feasible,1741.2650036811829,870.6325025558472,42590.53999999999,feasible,558.6957314014435,279.3478664159775,42282.84,feasible,1195.0331914424896,597.5165959596634,42149.69999999999
/instancia_100projetos_2sondas_delta_t28.dat,feasible,0.012873411178588867,0.006437063217163086,18292.02,feasible,0.10644245147705078,0.05322158336639404,18354.73,feasible,0.09939694404602051,0.049698829650878906,18450.74,feasible,290.6067318916321,145.3033663034439,18840.699999999997,feasible,425.0444815158844,212.52224111557007,19172.66,feasible,279.65918493270874,139.8295933008194,18782.769999999997,feasible,154.11412143707275,77.05706095695496,19252.169999999995
/instancia_160projetos_2sondas_delta_t1.dat,feasible,0.04739665985107422,0.02369868755340576,22910.510000000002,feasible,0.45625925064086914,0.22813034057617188,23962.850000000002,feasible,0.48722100257873535,0.24361133575439453,23845.41,feasible,2107.7517325878143,1053.875866651535,24044.690000000002,feasible,1118.2092587947845,559.1046297550201,24566.239999999998,feasible,1298.1700854301453,649.0850431919098,24182.46,feasible,469.17677879333496,234.58839011192322,24533.550000000007
/instancia_40projetos_10sondas_delta_t7.dat,feasible,0.028690814971923828,0.01434624195098877,8610.770000000002,feasible,0.28151655197143555,0.14075899124145508,8610.770000000002,feasible,0.21313261985778809,0.10656702518463135,11420.170000000002,feasible,158.76961207389832,79.3848067522049,8610.770000000002,feasible,331.47307658195496,165.73653900623322,11420.17,feasible,99.34634065628052,49.673171401023865,11420.170000000002,feasible,217.70641541481018,108.85320854187012,11420.170000000002
/instancia_100projetos_10sondas_delta_t7.dat,feasible,0.10762238502502441,0.05381202697753906,12360.99,feasible,1.063514232635498,0.5317578315734863,13241.869999999999,feasible,0.700554370880127,0.35027801990509033,14245.939999999997,feasible,747.0226674079895,373.5113344192505,14245.939999999999,feasible,1545.628845691681,772.8144237995148,14245.939999999999,feasible,352.5437846183777,176.27189302444458,14245.940000000002,feasible,1205.920123577118,602.9600627422333,14245.94
/instancia_10projetos_2sondas_delta_t28.dat,feasible,0.0011723041534423828,0.0005868673324584961,1396.55,feasible,0.009309053421020508,0.004655241966247559,1396.55,feasible,0.011112451553344727,0.005556821823120117,1396.55,feasible,1.5027132034301758,0.7513575553894043,1396.55,feasible,1.5922584533691406,0.7961301803588867,1396.55,feasible,1.3371667861938477,0.6685841083526611,1396.55,feasible,1.3826327323913574,0.6913172006607056,1396.55
