Instancia,Viabilidade,Criterio guloso,Tempo total (s),Tempo medio (s),Valor da função objetivo,MultStart viabilidade,MultStart Tempo total (s),MultStart Tempo medio (s),MultStart Função Objetivo,delta (%)
/instancia_50projetos_2sondas_delta_t1.dat,feasible,duracao,0.00865030288696289,0.00432586669921875,8307.40480018946,feasible,0.4061393737792969,0.20307016372680664,11671.30656139236,0.40492811438852505
/instancia_50projetos_2sondas_delta_t1.dat,feasible,janela,0.010293722152709961,0.005147457122802734,9200.217097045981,feasible,0.4061393737792969,0.20307016372680664,11671.30656139236,0.2685903428452575
/instancia_30projetos_2sondas_delta_t28.dat,feasible,lucro,0.0037202835083007812,0.0018608570098876953,4483.560111016692,feasible,0.16842341423034668,0.08421194553375244,4699.795936122565,0.04822859953958318
/instancia_30projetos_2sondas_delta_t28.dat,feasible,lucro/custo,0.00390934944152832,0.001955389976501465,4649.856457169474,feasible,0.16842341423034668,0.08421194553375244,4699.795936122565,0.010740004430908931
/instancia_30projetos_2sondas_delta_t28.dat,feasible,lucro/duracao,0.003847837448120117,0.001924753189086914,4699.380596537243,feasible,0.16842341423034668,0.08421194553375244,4699.795936122565,8.838177219096954e-05
/instancia_30projetos_2sondas_delta_t28.dat,feasible,custo,0.0038356781005859375,0.0019185543060302734,4505.779451888701,feasible,0.16842341423034668,0.08421194553375244,4699.795936122565,0.04305947201932778
/instancia_30projetos_2sondas_delta_t28.dat,feasible,duracao,0.004067659378051758,0.0020345449447631836,4505.779451888701,feasible,0.16842341423034668,0.08421194553375244,4699.795936122565,0.04305947201932778
/instancia_30projetos_2sondas_delta_t28.dat,feasible,janela,0.004167795181274414,0.0020847320556640625,4215.065887667383,feasible,0.16842341423034668,0.08421194553375244,4699.795936122565,0.11499940009797358
/instancia_300projetos_10sondas_delta_t7.dat,feasible,lucro,0.7722873687744141,0.3861445188522339,99660.5724040242,feasible,42.277644634246826,21.13882279396057,102673.0390533804,0.030227266176473973
/instancia_300projetos_10sondas_delta_t7.dat,feasible,lucro/custo,0.7634305953979492,0.38171613216400146,103997.90644650174,feasible,42.277644634246826,21.13882279396057,102673.0390533804,-0.012739365996784517
/instancia_300projetos_10sondas_delta_t7.dat,feasible,lucro/duracao,0.7760984897613525,0.388049840927124,99466.71440708905,feasible,42.277644634246826,21.13882279396057,102673.0390533804,0.03223515188376259
/instancia_300projetos_10sondas_delta_t7.dat,feasible,custo,0.7741124629974365,0.38705694675445557,92693.94434393468,feasible,42.277644634246826,21.13882279396057,102673.0390533804,0.10765638230280675
/instancia_300projetos_10sondas_delta_t7.dat,feasible,duracao,0.8390848636627197,0.41954314708709717,83858.35025901848,feasible,42.277644634246826,21.13882279396057,102673.0390533804,0.22436273473360527
/instancia_300projetos_10sondas_delta_t7.dat,feasible,janela,1.0462610721588135,0.5231313705444336,78355.55491788432,feasible,42.277644634246826,21.13882279396057,102673.0390533804,0.31034792824810586
/instancia_300projetos_5sondas_delta_t7.dat,feasible,lucro,0.40384507179260254,0.20192337036132812,107691.34477831669,feasible,46.38369178771973,23.19184672832489,123998.43178446862,0.1514243047082397
/instancia_300projetos_5sondas_delta_t7.dat,feasible,lucro/custo,0.42560672760009766,0.21280419826507568,118797.54058260762,feasible,46.38369178771973,23.19184672832489,123998.43178446862,0.04377945179971535
/instancia_300projetos_5sondas_delta_t7.dat,feasible,lucro/duracao,0.42380857467651367,0.21190524101257324,116674.17229970421,feasible,46.38369178771973,23.19184672832489,123998.43178446862,0.06277532842444665
/instancia_300projetos_5sondas_delta_t7.dat,feasible,custo,0.4202866554260254,0.21014404296875,85257.35327455983,feasible,46.38369178771973,23.19184672832489,123998.43178446862,0.45440160903363197
